"Label","Image_Metadata_Well","ImageNumber","ObjectNumber","Children_SpklPerObject_Count","Intensity_IntegratedIntensityEdge_CorrDNA","Intensity_IntegratedIntensityEdge_CorrGFP","Intensity_IntegratedIntensityEdge_SpecklesGFP","Intensity_IntegratedIntensity_CorrDNA","Intensity_IntegratedIntensity_CorrGFP","Intensity_IntegratedIntensity_SpecklesGFP","Intensity_LowerQuartileIntensity_CorrDNA","Intensity_LowerQuartileIntensity_CorrGFP","Intensity_LowerQuartileIntensity_SpecklesGFP","Intensity_MADIntensity_CorrDNA","Intensity_MADIntensity_CorrGFP","Intensity_MADIntensity_SpecklesGFP","Intensity_MassDisplacement_CorrDNA","Intensity_MassDisplacement_CorrGFP","Intensity_MassDisplacement_SpecklesGFP","Intensity_MaxIntensityEdge_CorrDNA","Intensity_MaxIntensityEdge_CorrGFP","Intensity_MaxIntensityEdge_SpecklesGFP","Intensity_MaxIntensity_CorrDNA","Intensity_MaxIntensity_CorrGFP","Intensity_MaxIntensity_SpecklesGFP","Intensity_MeanIntensityEdge_CorrDNA","Intensity_MeanIntensityEdge_CorrGFP","Intensity_MeanIntensityEdge_SpecklesGFP","Intensity_MeanIntensity_CorrDNA","Intensity_MeanIntensity_CorrGFP","Intensity_MeanIntensity_SpecklesGFP","Intensity_MedianIntensity_CorrDNA","Intensity_MedianIntensity_CorrGFP","Intensity_MedianIntensity_SpecklesGFP","Intensity_MinIntensityEdge_CorrDNA","Intensity_MinIntensityEdge_CorrGFP","Intensity_MinIntensityEdge_SpecklesGFP","Intensity_MinIntensity_CorrDNA","Intensity_MinIntensity_CorrGFP","Intensity_MinIntensity_SpecklesGFP","Intensity_StdIntensityEdge_CorrDNA","Intensity_StdIntensityEdge_CorrGFP","Intensity_StdIntensityEdge_SpecklesGFP","Intensity_StdIntensity_CorrDNA","Intensity_StdIntensity_CorrGFP","Intensity_StdIntensity_SpecklesGFP","Intensity_UpperQuartileIntensity_CorrDNA","Intensity_UpperQuartileIntensity_CorrGFP","Intensity_UpperQuartileIntensity_SpecklesGFP","Location_CenterMassIntensity_X_CorrDNA","Location_CenterMassIntensity_X_CorrGFP","Location_CenterMassIntensity_X_SpecklesGFP","Location_CenterMassIntensity_Y_CorrDNA","Location_CenterMassIntensity_Y_CorrGFP","Location_CenterMassIntensity_Y_SpecklesGFP","Location_CenterMassIntensity_Z_CorrDNA","Location_CenterMassIntensity_Z_CorrGFP","Location_CenterMassIntensity_Z_SpecklesGFP","Location_Center_X","Location_Center_Y","Location_Center_Z","Location_MaxIntensity_X_CorrDNA","Location_MaxIntensity_X_CorrGFP","Location_MaxIntensity_X_SpecklesGFP","Location_MaxIntensity_Y_CorrDNA","Location_MaxIntensity_Y_CorrGFP","Location_MaxIntensity_Y_SpecklesGFP","Location_MaxIntensity_Z_CorrDNA","Location_MaxIntensity_Z_CorrGFP","Location_MaxIntensity_Z_SpecklesGFP","Number_Object_Number","Parent_Nuclei"
"Negative","O04",1,1,11,7.20182156190276,17.5570870637894,2.98514912649989,390.99421845004,525.387935336679,67.8723708093166,0.054207318462432,0.124764544889331,0.00630970671773,0.013653529807925,0.0420823097229,0.013739157468081,2.51069156305259,1.59117043870168,1.14789987611,0.077259786427021,0.261807829141617,0.064985856413841,0.607439756393433,0.390752851963043,0.15639591217041,0.054975737113762,0.134023565372438,0.022787397912213,0.127484257727434,0.171303532877952,0.022129889406364,0.064292911440134,0.160968221724033,0.020020790398121,0.030015468597412,0.054016083478928,0,0.020725626498461,0.045683562755585,0,0.00871420466179,0.049479121613983,0.01733869439862,0.141219969984254,0.058007242318051,0.018551837168272,0.092623358592391,0.214397542178631,0.033862916752696,407.745560821915,408.888702910486,410.778515250267,20.8720041981436,20.7853854307867,20.9930344900684,0,0,0,410.046299315292,21.8770785784154,0,412,407,407,25,14,14,0,0,0,1,1
"Negative","O04",1,2,2,10.2654975019395,22.6614043787122,4.54488523676991,373.940294802189,551.695189397782,97.8233582191169,0.057260222733021,0.118268419057131,0.010506615042687,0.010480109602213,0.022978268563748,0.013593122363091,2.72557728240128,1.46403156033816,1.08840766132557,0.103088945150375,0.298453599214554,0.080450125038624,0.522046983242035,0.298453599214554,0.123053878545761,0.060742588768873,0.134091150169895,0.026892812051893,0.096227559135921,0.141969940658204,0.025173277977127,0.066724888980389,0.142212465405464,0.023978441953659,0.025225471705198,0.047794334590435,0,0.021574389189482,0.037633895874024,0,0.011766884232982,0.046790004807589,0.017586761276428,0.093313643823093,0.034757618072603,0.018319868665679,0.0794942304492,0.164296768605709,0.037670351564884,352.687969345611,352.425904125035,350.27803402117,31.0721890709932,32.4706249148793,33.1125485894831,0,0,0,351.319351518271,33.4292331446217,0,358,385,362,35,49,16,0,0,0,2,2
"Negative","O04",1,3,5,12.7465309947729,24.510248541832,8.18206304684281,447.812965940684,687.767590008676,178.554476682097,0.067705187946558,0.13032578676939,0.019521344453096,0.012313023209572,0.034768357872963,0.023529410362244,2.52685087615807,1.70585897429154,0.166417408567672,0.112719230353832,0.26274511218071,0.125490188598633,0.498240292072296,0.376470595598221,0.180235087871551,0.073255925257316,0.14086349736685,0.047023350843924,0.107595618918953,0.165249300819,0.042901123662205,0.078350305557251,0.164705887436867,0.039215691387653,0.038473777472973,0.041901029646397,0,0.031311620026827,0.011764706112444,0,0.013592640508412,0.040673578462179,0.028259268513305,0.086663272344037,0.048828334525262,0.030751923384565,0.094390701502562,0.199859149754047,0.063835557550192,60.4834721035728,58.7938589336518,60.2081470321393,29.8180106239003,31.1507983596726,32.3525052736922,0,0,0,60.0480538202787,32.307063911581,0,56,66,66,23,21,51,0,0,0,3,3
"Negative","O04",1,4,7,16.379916343838,31.3463242128491,7.90864320844412,559.887200899422,809.142071414739,165.8818385005,0.065034314990044,0.126466065645218,0.014960803091526,0.010921202600002,0.028237052261829,0.016107223927975,0.787708325986054,1.15346368214294,1.36096712517628,0.096606716513634,0.209031149744987,0.084957323968411,0.549718737602234,0.321865022182465,0.152606502175331,0.067685604726603,0.129530265342352,0.032680343836546,0.108927470992106,0.157420636462011,0.032272731225778,0.074103608727455,0.152740404009819,0.031016230583191,0.037436746060848,0.066515885293484,0,0.027575762942433,0.040437418967486,0,0.011570329024965,0.026138350319337,0.021029794002359,0.105519981397125,0.041351114638167,0.022702645879741,0.088127732276917,0.184133440256119,0.047145247459412,243.6806682857,243.284819727741,242.870501304675,57.4644717790793,58.9009371205305,57.5913512550191,0,0,0,244.127431906615,58.1132295719844,0,254,246,237,53,70,46,0,0,0,4,4
"Negative","O04",1,5,2,12.3517995327711,23.594699293375,4.14379715919495,325.346070230007,485.483306787908,75.8977213837206,0.049096964299679,0.109485693275929,0.007935084402561,0.008776187896729,0.017647944390774,0.01196326315403,1.94475323135062,1.38002106817971,0.601997420306081,0.262327581644058,0.201017186045647,0.069969296455383,0.478785514831543,0.29863452911377,0.084858007729054,0.063998961309695,0.122252327944948,0.021470451602046,0.091133353005604,0.13598972178933,0.021259865933815,0.056322500109673,0.124482482671738,0.019944831728935,0.032973311841488,0.059851802885532,0,0.02271855250001,0.052064545452595,0,0.041278601077827,0.024681519674766,0.01562017628463,0.097478460752037,0.039836433740488,0.016095218518796,0.070107474923134,0.150185778737068,0.031865742057562,450.711154899998,452.446807545802,452.505591542335,61.2750850304718,62.1737319984898,60.2070174334614,0,0,0,452.597478991597,60.8019607843137,0,444,454,479,64,71,61,0,0,0,5,5
"Negative","O04",1,6,1,16.5977384112775,32.8033441752195,9.31185887008905,643.659031942487,872.908334765583,217.154295112938,0.064809920266271,0.120592957362533,0.01715580187738,0.011487793177366,0.026432290673256,0.018176361918449,0.931670017998995,1.97168023391625,0.730226004930527,0.094458498060703,0.245036900043488,0.117631748318672,0.520851671695709,0.357354193925858,0.194465488195419,0.065603709135484,0.129657486858575,0.036805766284937,0.10896547011046,0.147775238660163,0.03676219656559,0.074828241020441,0.146074078977108,0.035314716398716,0.023122988641262,0.063387140631676,0,0.018864588811994,0,0,0.011611898720973,0.032669028917261,0.025282570873889,0.096807114652808,0.038970460777929,0.025316373201555,0.089340731501579,0.173118323087692,0.0535012409091,168.109749480606,167.928601193511,166.787488633124,76.1185766551622,78.5557510419807,76.2123751029464,0,0,0,167.357711190113,76.6685288640596,0,175,166,166,71,80,80,0,0,0,6,6
"Negative","O04",1,7,6,10.5143762659282,27.2782987654209,3.82583159208298,303.035199858248,563.12883477658,62.0213520079851,0.054610602557659,0.143448263406754,0.004466995596886,0.010257761925459,0.038323014974594,0.013352572917938,0.648454777856232,1.11211219977241,1.12861116963958,0.093203768134117,0.284133523702621,0.056383699178696,0.373128473758697,0.390443205833435,0.146857127547264,0.05504909039753,0.142818318143565,0.020030531895722,0.098901827629977,0.183788784196012,0.020241955616183,0.062451779842377,0.177721753716469,0.018246054649353,0.026188621297479,0.076543174684048,0,0.026188621297479,0.06301374733448,0,0.008126310321585,0.039590981155019,0.014957862297375,0.084561830317415,0.051375889351208,0.017426362176836,0.080261915922165,0.221790552139282,0.031386896967888,405.040063630515,405.656272609858,404.728110971527,82.6276561077374,81.8829289674213,82.2477085682085,0,0,0,405.57637075718,82.9921671018277,0,402,410,410,80,78,78,0,0,0,7,7
"Negative","O04",1,8,6,12.3809926155955,29.1239050067961,5.4755092561245,413.177296321839,747.955571256578,86.4567084312439,0.058301988989115,0.136102244257927,0.006133042275906,0.01049891859293,0.033689916133881,0.013805069029331,2.66417614214289,3.13620248367833,1.41874756471389,0.092698492109776,0.234185457229614,0.079887479543686,0.614643454551697,0.477033287286758,0.127153873443604,0.058957107693312,0.138685261937124,0.026073853600593,0.10329432408046,0.186988892814144,0.021614177107811,0.067150488495827,0.162721902132034,0.019107691943646,0.022975113242865,0.059225741773844,0,0.022975113242865,0.059225741773844,0,0.011919256268975,0.032801950131085,0.017134975773096,0.114576071864288,0.075354708749675,0.018092214984545,0.08194649964571,0.221984758973122,0.033492788672447,329.194701330937,328.20735356435,325.532538311823,98.9135864705504,100.67863034605,97.1459252682886,0,0,0,326.72475,97.915,0,328,336,336,97,94,94,0,0,0,8,8
"Negative","O04",1,9,0,13.8673943970352,29.376968328841,8.10596327111125,589.977094484493,799.577018027194,219.106983099133,0.063788443803787,0.130890220403671,0.01891516149044,0.012094222009182,0.023320496082306,0.02169830352068,2.25514359346494,1.10866144690525,0.815533683179932,0.096513085067272,0.214686661958694,0.119586139917374,0.473385572433472,0.297701925039291,0.175264552235603,0.064200899986274,0.136004483003894,0.037527607736626,0.113544475458909,0.153883182838182,0.042168395515615,0.074636444449425,0.153835773468018,0.040385939180851,0.011383734643459,0.011764706112444,0,0.011383734643459,0.011764706112444,0,0.014325591679643,0.037078675848981,0.028622121863477,0.103243023264883,0.034686414796007,0.029393747335302,0.089314013719559,0.177416026592255,0.062411859631538,38.5433980582618,35.2874905904161,36.2311150727473,100.675859286364,100.955167124371,99.6808621217905,0,0,0,36.2956120092379,100.493841416474,0,36,7,7,98,94,94,0,0,0,9,9
"Negative","O04",1,10,0,9.84969710558653,24.4982834905386,3.45516587048769,296.284336097538,393.335705898702,57.8361070156097,0.05355641245842,0.126827467232943,0.009021298959851,0.011880546808243,0.016545079648495,0.011424917727709,1.21271180303478,0.920909023511643,0.457424935465917,0.079356968402863,0.194216415286064,0.060847148299217,0.499263614416122,0.22007629275322,0.073599882423878,0.05411921486586,0.134605953244718,0.018984427859823,0.108568829643656,0.144131808684024,0.021193150243903,0.062773700803518,0.142783246934414,0.020248759537935,0.025036375969648,0.075144052505493,0,0.022503901273012,0.075144052505493,0,0.009303766271061,0.024181462867206,0.013603227583149,0.112742438362933,0.023768264688982,0.015081151943937,0.08170429803431,0.160096891224384,0.031935460865498,376.824413738945,377.441548340058,377.992884377493,116.802932671658,118.562728622565,117.345632168459,0,0,0,377.671308171491,117.6709417369,0,378,383,369,124,140,132,0,0,0,10,10
